HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
45,49,49,65,65,45,False
60,62,63,80,80,60,False
80,82,83,100,100,80,False
80,100,123,122,120,80,False
39,52,43,60,50,65,False
58,64,58,80,65,80,False
78,84,78,109,85,100,False
78,130,111,130,85,100,False
78,104,78,159,115,100,False
44,48,65,50,64,43,False
59,63,80,65,80,58,False
79,83,100,85,105,78,False
79,103,120,135,115,78,False
45,30,35,20,20,45,False
50,20,55,25,25,30,False
60,45,50,90,80,70,False
40,35,30,20,20,50,False
45,25,50,25,25,35,False
65,90,40,45,80,75,False
65,150,40,15,80,145,False
40,45,40,35,35,56,False
63,60,55,50,50,71,False
83,80,75,70,70,101,False
83,80,80,135,80,121,False
30,56,35,25,35,72,False
55,81,60,50,70,97,False
40,60,30,31,31,70,False
65,90,65,61,61,100,False
35,60,44,40,54,55,False
60,85,69,65,79,80,False
35,55,40,50,50,90,False
60,90,55,90,80,110,False
50,75,85,20,30,40,False
75,100,110,45,55,65,False
55,47,52,40,40,41,False
70,62,67,55,55,56,False
90,92,87,75,85,76,False
46,57,40,40,40,50,False
61,72,57,55,55,65,False
81,102,77,85,75,85,False
70,45,48,60,65,35,False
95,70,73,95,90,60,False
38,41,40,50,65,65,False
73,76,75,81,100,100,False
115,45,20,45,25,20,False
140,70,45,85,50,45,False
40,45,35,30,40,55,False
75,80,70,65,75,90,False
45,50,55,75,65,30,False
60,65,70,85,75,40,False
75,80,85,110,90,50,False
35,70,55,45,55,25,False
60,95,80,60,80,30,False
60,55,50,40,55,45,False
70,65,60,90,75,90,False
10,55,25,35,45,95,False
35,80,50,50,70,120,False
40,45,35,40,40,90,False
65,70,60,65,65,115,False
50,52,48,65,50,55,False
80,82,78,95,80,85,False
40,80,35,35,45,70,False
65,105,60,60,70,95,False
55,70,45,70,50,60,False
90,110,80,100,80,95,False
40,50,40,40,40,90,False
65,65,65,50,50,90,False
90,95,95,70,90,70,False
25,20,15,105,55,90,False
40,35,30,120,70,105,False
55,50,45,135,95,120,False
55,50,65,175,95,150,False
70,80,50,35,35,35,False
80,100,70,50,60,45,False
90,130,80,65,85,55,False
50,75,35,70,30,40,False
65,90,50,85,45,55,False
80,105,65,100,70,70,False
40,40,35,50,100,70,False
80,70,65,80,120,100,False
40,80,100,30,30,20,False
55,95,115,45,45,35,False
80,120,130,55,65,45,False
50,85,55,65,65,90,False
65,100,70,80,80,105,False
90,65,65,40,40,15,False
95,75,110,100,80,30,False
95,75,180,130,80,30,False
25,35,70,95,55,45,False
50,60,95,120,70,70,False
52,65,55,58,62,60,False
35,85,45,35,35,75,False
60,110,70,60,60,100,False
65,45,55,45,70,45,False
90,70,80,70,95,70,False
80,80,50,40,50,25,False
105,105,75,65,100,50,False
30,65,100,45,25,40,False
50,95,180,85,45,70,False
30,35,30,100,35,80,False
45,50,45,115,55,95,False
60,65,60,130,75,110,False
60,65,80,170,95,130,False
35,45,160,30,45,70,False
60,48,45,43,90,42,False
85,73,70,73,115,67,False
30,105,90,25,25,50,False
55,130,115,50,50,75,False
40,30,50,55,55,100,False
60,50,70,80,80,140,False
60,40,80,60,45,40,False
95,95,85,125,65,55,False
50,50,95,40,50,35,False
60,80,110,50,80,45,False
50,120,53,35,110,87,False
50,105,79,35,110,76,False
90,55,75,60,75,30,False
40,65,95,60,45,35,False
65,90,120,85,70,60,False
80,85,95,30,30,25,False
105,130,120,45,45,40,False
250,5,5,35,105,50,False
65,55,115,100,40,60,False
105,95,80,40,80,90,False
105,125,100,60,100,100,False
30,40,70,70,25,60,False
55,65,95,95,45,85,False
45,67,60,35,50,63,False
80,92,65,65,80,68,False
30,45,55,70,55,85,False
60,75,85,100,85,115,False
40,45,65,100,120,90,False
70,110,80,55,80,105,False
65,50,35,115,95,95,False
65,83,57,95,85,105,False
65,95,57,100,85,93,False
65,125,100,55,70,85,False
65,155,120,65,90,105,False
75,100,95,40,70,110,False
20,10,55,15,20,80,False
95,125,79,60,100,81,False
95,155,109,70,130,81,False
130,85,80,85,95,60,False
48,48,48,48,48,48,False
55,55,50,45,65,55,False
130,65,60,110,95,65,False
65,65,60,110,95,130,False
65,130,60,95,110,65,False
65,60,70,85,75,40,False
35,40,100,90,55,35,False
70,60,125,115,70,55,False
30,80,90,55,45,55,False
60,115,105,65,70,80,False
80,105,65,60,75,130,False
80,135,85,70,95,150,False
160,110,65,65,110,30,False
90,85,100,95,125,85,True
90,90,85,125,90,100,True
90,100,90,125,85,90,True
41,64,45,50,50,50,False
61,84,65,70,70,70,False
91,134,95,100,100,80,False
106,110,90,154,90,130,True
106,190,100,154,100,130,True
106,150,70,194,120,140,True
100,100,100,100,100,100,False
45,49,65,49,65,45,False
60,62,80,63,80,60,False
80,82,100,83,100,80,False
39,52,43,60,50,65,False
58,64,58,80,65,80,False
78,84,78,109,85,100,False
50,65,64,44,48,43,False
65,80,80,59,63,58,False
85,105,100,79,83,78,False
35,46,34,35,45,20,False
85,76,64,45,55,90,False
60,30,30,36,56,50,False
100,50,50,76,96,70,False
40,20,30,40,80,55,False
55,35,50,55,110,85,False
40,60,40,40,40,30,False
70,90,70,60,60,40,False
85,90,80,70,80,130,False
75,38,38,56,56,67,False
125,58,58,76,76,67,False
20,40,15,35,35,60,False
50,25,28,45,55,15,False
90,30,15,40,20,15,False
35,20,65,40,65,20,False
55,40,85,80,105,40,False
40,50,45,70,45,70,False
65,75,70,95,70,95,False
55,40,40,65,45,35,False
70,55,55,80,60,45,False
90,75,85,115,90,55,False
90,95,105,165,110,45,False
75,80,95,90,100,50,False
70,20,50,20,50,40,False
100,50,80,60,80,50,False
70,100,115,30,65,30,False
90,75,75,90,100,70,False
35,35,40,35,55,50,False
55,45,50,45,65,80,False
75,55,70,55,95,110,False
55,70,55,40,55,85,False
30,30,30,30,30,30,False
75,75,55,105,85,30,False
65,65,45,75,45,95,False
55,45,45,25,25,15,False
95,85,85,65,65,35,False
65,65,60,130,95,110,False
95,65,110,60,130,65,False
60,85,42,85,42,91,False
95,75,80,100,110,30,False
60,60,60,85,85,85,False
48,72,48,72,48,48,False
190,33,58,33,58,33,False
70,80,65,90,65,85,False
50,65,90,35,35,15,False
75,90,140,60,60,40,False
100,70,70,65,65,45,False
65,75,105,35,65,85,False
75,85,200,55,65,30,False
75,125,230,55,95,30,False
60,80,50,40,40,30,False
90,120,75,60,60,45,False
65,95,75,55,55,85,False
70,130,100,55,80,65,False
70,150,140,65,100,75,False
20,10,230,10,230,5,False
80,125,75,40,95,85,False
80,185,115,40,105,75,False
55,95,55,35,75,115,False
60,80,50,50,50,40,False
90,130,75,75,75,55,False
40,40,40,70,40,20,False
50,50,120,80,80,30,False
50,50,40,30,30,50,False
100,100,80,60,60,50,False
55,55,85,65,85,35,False
35,65,35,65,35,65,False
75,105,75,105,75,45,False
45,55,45,65,45,75,False
65,40,70,80,140,70,False
65,80,140,40,70,70,False
45,60,30,80,50,65,False
75,90,50,110,80,95,False
75,90,90,140,90,115,False
75,95,95,95,95,85,False
90,60,60,40,40,40,False
90,120,120,60,60,50,False
85,80,90,105,95,60,False
73,95,62,85,65,85,False
55,20,35,20,45,75,False
35,35,35,35,35,35,False
50,95,95,35,110,70,False
45,30,15,85,65,65,False
45,63,37,65,55,95,False
45,75,37,70,55,83,False
95,80,105,40,70,100,False
255,10,10,75,135,55,False
90,85,75,115,100,115,True
115,115,85,90,75,100,True
100,75,115,90,115,85,True
50,64,50,45,50,41,False
70,84,70,65,70,51,False
100,134,110,95,100,61,False
100,164,150,95,120,71,False
106,90,130,90,154,110,True
106,130,90,110,154,90,True
100,100,100,100,100,100,False
40,45,35,65,55,70,False
50,65,45,85,65,95,False
70,85,65,105,85,120,False
70,110,75,145,85,145,False
45,60,40,70,50,45,False
60,85,60,85,60,55,False
80,120,70,110,70,80,False
80,160,80,130,80,100,False
50,70,50,50,50,40,False
70,85,70,60,70,50,False
100,110,90,85,90,60,False
100,150,110,95,110,70,False
35,55,35,30,30,35,False
70,90,70,60,60,70,False
38,30,41,30,41,60,False
78,70,61,50,61,100,False
45,45,35,20,30,20,False
50,35,55,25,25,15,False
60,70,50,100,50,65,False
50,35,55,25,25,15,False
60,50,70,50,90,65,False
40,30,30,40,50,30,False
60,50,50,60,70,50,False
80,70,70,90,100,70,False
40,40,50,30,30,30,False
70,70,40,60,40,60,False
90,100,60,90,60,80,False
40,55,30,30,30,85,False
60,85,60,50,50,125,False
40,30,30,55,30,85,False
60,50,100,85,70,65,False
28,25,25,45,35,40,False
38,35,35,65,55,50,False
68,65,65,125,115,80,False
68,85,65,165,135,100,False
40,30,32,50,52,65,False
70,60,62,80,82,60,False
60,40,60,40,60,35,False
60,130,80,60,60,70,False
60,60,60,35,35,30,False
80,80,80,55,55,90,False
150,160,100,95,65,100,False
31,45,90,30,30,40,False
61,90,45,50,50,160,False
1,90,45,30,30,40,False
64,51,23,51,23,28,False
84,71,43,71,43,48,False
104,91,63,91,73,68,False
72,60,30,20,30,25,False
144,120,60,40,60,50,False
50,20,40,20,40,20,False
30,45,135,45,90,30,False
50,45,45,35,35,50,False
70,65,65,55,55,70,False
50,75,75,65,65,50,False
50,85,125,85,115,20,False
50,85,85,55,55,50,False
50,105,125,55,95,50,False
50,70,100,40,40,30,False
60,90,140,50,50,40,False
70,110,180,60,60,50,False
70,140,230,60,80,50,False
30,40,55,40,55,60,False
60,60,75,60,75,80,False
60,100,85,80,85,100,False
40,45,40,65,40,65,False
70,75,60,105,60,105,False
70,75,80,135,80,135,False
60,50,40,85,75,95,False
60,40,50,75,85,95,False
65,73,55,47,75,85,False
65,47,55,73,75,85,False
50,60,45,100,80,65,False
70,43,53,43,53,40,False
100,73,83,73,83,55,False
45,90,20,65,20,65,False
70,120,40,95,40,95,False
70,140,70,110,65,105,False
130,70,35,70,35,60,False
170,90,45,90,45,60,False
60,60,40,65,45,35,False
70,100,70,105,75,40,False
70,120,100,145,105,20,False
70,85,140,85,70,20,False
60,25,35,70,80,60,False
80,45,65,90,110,80,False
60,60,60,60,60,60,False
45,100,45,45,45,10,False
50,70,50,50,50,70,False
80,100,80,80,80,100,False
50,85,40,85,40,35,False
70,115,60,115,60,55,False
45,40,60,40,75,50,False
75,70,90,70,105,80,False
75,110,110,110,105,80,False
73,115,60,60,60,90,False
73,100,60,100,60,65,False
70,55,65,95,85,70,False
70,95,85,55,65,70,False
50,48,43,46,41,60,False
110,78,73,76,71,60,False
43,80,65,50,35,35,False
63,120,85,90,55,55,False
40,40,55,40,70,55,False
60,70,105,70,120,75,False
66,41,77,61,87,23,False
86,81,97,81,107,43,False
45,95,50,40,50,75,False
75,125,100,70,80,45,False
20,15,20,10,55,80,False
95,60,79,100,125,81,False
70,70,70,70,70,70,False
60,90,70,60,120,40,False
44,75,35,63,33,45,False
64,115,65,83,63,65,False
64,165,75,93,83,75,False
20,40,90,30,90,25,False
40,70,130,60,130,25,False
99,68,83,72,87,51,False
65,50,70,95,80,65,False
65,130,60,75,60,75,False
65,150,60,115,60,115,False
95,23,48,23,48,23,False
50,50,50,50,50,50,False
80,80,80,80,80,80,False
80,120,80,120,80,100,False
70,40,50,55,50,25,False
90,60,70,75,70,45,False
110,80,90,95,90,65,False
35,64,85,74,55,32,False
55,104,105,94,75,52,False
55,84,105,114,75,52,False
100,90,130,45,65,55,False
43,30,55,40,65,97,False
45,75,60,40,30,50,False
65,95,100,60,50,50,False
95,135,80,110,80,100,False
95,145,130,120,90,120,False
40,55,80,35,60,30,False
60,75,100,55,80,50,False
80,135,130,95,90,70,False
80,145,150,105,110,110,False
80,100,200,50,100,50,True
80,50,100,100,200,50,True
80,75,150,75,150,50,True
80,80,90,110,130,110,True
80,100,120,140,150,110,True
80,90,80,130,110,110,True
80,130,100,160,120,110,True
100,100,90,150,140,90,True
100,150,90,180,160,90,True
100,150,140,100,90,90,True
100,180,160,150,90,90,True
105,150,90,150,90,95,True
105,180,100,180,100,115,True
100,100,100,100,100,100,True
50,150,50,150,50,150,True
50,180,20,180,20,150,True
50,70,160,70,160,90,True
50,95,90,95,90,180,True
55,68,64,45,55,31,False
75,89,85,55,65,36,False
95,109,105,75,85,56,False
44,58,44,58,44,61,False
64,78,52,78,52,81,False
76,104,71,104,71,108,False
53,51,53,61,56,40,False
64,66,68,81,76,50,False
84,86,88,111,101,60,False
40,55,30,30,30,60,False
55,75,50,40,40,80,False
85,120,70,50,60,100,False
59,45,40,35,40,31,False
79,85,60,55,60,71,False
37,25,41,25,41,25,False
77,85,51,55,51,65,False
45,65,34,40,34,45,False
60,85,49,60,49,60,False
80,120,79,95,79,70,False
40,30,35,50,70,55,False
60,70,65,125,105,90,False
67,125,40,30,30,58,False
97,165,60,65,50,58,False
30,42,118,42,88,30,False
60,52,168,47,138,30,False
40,29,45,29,45,36,False
60,59,85,79,105,36,False
60,79,105,59,85,36,False
60,69,95,69,95,36,False
70,94,50,94,50,66,False
30,30,42,30,42,70,False
70,80,102,80,102,40,False
60,45,70,45,90,95,False
55,65,35,60,30,85,False
85,105,55,85,50,115,False
45,35,45,62,53,35,False
70,60,70,87,78,85,False
76,48,48,57,62,34,False
111,83,68,92,82,39,False
75,100,66,60,66,115,False
90,50,34,60,44,70,False
150,80,44,90,54,80,False
55,66,44,44,56,85,False
65,76,84,54,96,105,False
65,136,94,54,96,135,False
60,60,60,105,105,105,False
100,125,52,105,52,71,False
49,55,42,42,37,85,False
71,82,64,64,59,112,False
45,30,50,65,50,45,False
63,63,47,41,41,74,False
103,93,67,71,61,84,False
57,24,86,24,86,23,False
67,89,116,79,116,33,False
50,80,95,10,45,10,False
20,25,45,70,90,60,False
100,5,5,15,65,30,False
76,65,45,92,42,91,False
50,92,108,92,108,35,False
58,70,45,40,45,42,False
68,90,65,50,55,82,False
108,130,95,80,85,102,False
108,170,115,120,95,92,False
135,85,40,40,85,5,False
40,70,40,35,40,60,False
70,110,70,115,70,90,False
70,145,88,140,70,112,False
68,72,78,38,42,32,False
108,112,118,68,72,47,False
40,50,90,30,55,65,False
70,90,110,60,75,95,False
48,61,40,61,40,50,False
83,106,65,86,65,85,False
74,100,72,90,72,46,False
49,49,56,49,61,66,False
69,69,76,69,86,91,False
45,20,50,60,120,50,False
60,62,50,62,60,40,False
90,92,75,92,85,60,False
90,132,105,132,105,30,False
70,120,65,45,85,125,False
70,70,115,130,90,60,False
110,85,95,80,95,50,False
115,140,130,55,55,40,False
100,100,125,110,50,50,False
75,123,67,95,85,95,False
75,95,67,125,95,83,False
85,50,95,120,115,80,False
86,76,86,116,56,95,False
65,110,130,60,65,95,False
65,60,110,130,95,65,False
75,95,125,45,75,95,False
110,130,80,70,60,80,False
85,80,70,135,75,90,False
68,125,65,65,115,80,False
68,165,95,65,115,110,False
60,55,145,75,150,40,False
45,100,135,65,135,45,False
70,80,70,80,70,110,False
50,50,77,95,77,91,False
50,65,107,105,107,86,False
50,65,107,105,107,86,False
50,65,107,105,107,86,False
50,65,107,105,107,86,False
50,65,107,105,107,86,False
75,75,130,75,130,95,True
80,105,105,105,105,80,True
75,125,70,125,70,115,True
100,120,120,150,100,90,True
90,120,100,150,120,100,True
91,90,106,130,106,77,True
110,160,110,80,110,100,True
150,100,120,100,120,90,True
150,120,100,120,100,90,True
120,70,120,75,130,85,False
80,80,80,80,80,80,False
100,100,100,100,100,100,False
70,90,90,135,90,125,True
100,100,100,100,100,100,True
100,103,75,120,75,127,True
120,120,120,120,120,120,True
100,100,100,100,100,100,True
45,45,55,45,55,63,False
60,60,75,60,75,83,False
75,75,95,75,95,113,False
65,63,45,45,45,45,False
90,93,55,70,55,55,False
110,123,65,100,65,65,False
55,55,45,63,45,45,False
75,75,60,83,60,60,False
95,100,85,108,70,70,False
45,55,39,35,39,42,False
60,85,69,60,69,77,False
45,60,45,25,45,55,False
65,80,65,35,65,60,False
85,110,90,45,90,80,False
41,50,37,50,37,66,False
64,88,50,88,50,106,False
50,53,48,53,48,64,False
75,98,63,98,63,101,False
50,53,48,53,48,64,False
75,98,63,98,63,101,False
50,53,48,53,48,64,False
75,98,63,98,63,101,False
76,25,45,67,55,24,False
116,55,85,107,95,29,False
50,55,50,36,30,43,False
62,77,62,50,42,65,False
80,115,80,65,55,93,False
45,60,32,50,32,76,False
75,100,63,80,63,116,False
55,75,85,25,25,15,False
70,105,105,50,40,20,False
85,135,130,60,80,25,False
55,45,43,55,43,72,False
67,57,55,77,55,114,False
60,85,40,30,45,68,False
110,135,60,50,65,88,False
103,60,86,60,86,50,False
103,60,126,80,126,50,False
75,80,55,25,35,35,False
85,105,85,40,50,40,False
105,140,95,55,65,45,False
50,50,40,50,40,64,False
75,65,55,65,55,69,False
105,95,75,85,75,74,False
120,100,85,30,85,45,False
75,125,75,30,75,85,False
45,53,70,40,60,42,False
55,63,90,50,80,42,False
75,103,80,70,80,92,False
30,45,59,30,39,57,False
40,55,99,40,79,47,False
60,100,89,55,69,112,False
40,27,60,37,50,66,False
60,67,85,77,75,116,False
45,35,50,70,50,30,False
70,60,75,110,75,90,False
70,92,65,80,55,98,False
50,72,35,35,35,65,False
60,82,45,45,45,74,False
95,117,80,65,70,92,False
70,90,45,15,45,50,False
105,140,55,30,55,95,False
105,30,105,140,105,55,False
75,86,67,106,67,60,False
50,65,85,35,35,55,False
70,95,125,65,75,45,False
50,75,70,35,70,48,False
65,90,115,45,115,58,False
72,58,80,103,80,97,False
38,30,85,55,65,30,False
58,50,145,95,105,30,False
54,78,103,53,45,22,False
74,108,133,83,65,32,False
55,112,45,74,45,70,False
75,140,65,112,65,110,False
50,50,62,40,62,65,False
80,95,82,60,82,75,False
40,65,40,80,40,65,False
60,105,60,120,60,105,False
55,50,40,40,40,75,False
75,95,60,65,60,115,False
45,30,50,55,65,45,False
60,45,70,75,85,55,False
70,55,95,95,110,65,False
45,30,40,105,50,20,False
65,40,50,125,60,30,False
110,65,75,125,85,30,False
62,44,50,44,50,55,False
75,87,63,87,63,98,False
36,50,50,65,60,44,False
51,65,65,80,75,59,False
71,95,85,110,95,79,False
60,60,50,40,50,75,False
80,100,70,60,70,95,False
55,75,60,75,60,103,False
50,75,45,40,45,60,False
70,135,105,60,105,20,False
69,55,45,55,55,15,False
114,85,70,85,80,30,False
55,40,50,65,85,40,False
100,60,70,85,105,60,False
165,75,80,40,45,65,False
50,47,50,57,50,65,False
70,77,60,97,60,108,False
44,50,91,24,86,10,False
74,94,131,54,116,20,False
40,55,70,45,60,30,False
60,80,95,70,85,50,False
60,100,115,70,85,90,False
35,55,40,45,40,60,False
65,85,70,75,70,40,False
85,115,80,105,80,50,False
55,55,55,85,55,30,False
75,75,75,125,95,40,False
50,30,55,65,55,20,False
60,40,60,95,60,55,False
60,55,90,145,90,80,False
46,87,60,30,40,57,False
66,117,70,40,50,67,False
76,147,90,60,70,97,False
55,70,40,60,40,40,False
95,110,80,70,80,50,False
70,50,30,95,135,105,False
50,40,85,40,65,25,False
80,70,40,100,60,145,False
109,66,84,81,99,32,False
45,85,50,55,50,65,False
65,125,60,95,60,105,False
77,120,90,60,90,48,False
59,74,50,35,50,35,False
89,124,80,55,80,55,False
45,85,70,40,40,60,False
65,125,100,60,70,70,False
95,110,95,40,95,55,False
70,83,50,37,50,60,False
100,123,75,57,75,80,False
70,55,75,45,65,60,False
110,65,105,55,95,80,False
85,97,66,105,66,65,False
58,109,112,48,48,109,False
52,65,50,45,50,38,False
72,85,70,65,70,58,False
92,105,90,125,90,98,False
55,85,55,50,55,60,False
85,60,65,135,105,100,False
91,90,129,90,72,108,True
91,129,90,72,90,108,True
91,90,72,90,129,108,True
79,115,70,125,80,111,True
79,100,80,110,90,121,True
79,115,70,125,80,111,True
79,105,70,145,80,101,True
100,120,100,150,120,90,True
100,150,120,120,100,90,True
89,125,90,115,80,101,True
89,145,90,105,80,91,True
125,130,90,130,90,95,True
125,170,100,120,90,95,True
125,120,90,170,100,95,True
91,72,90,129,90,108,False
91,72,90,129,90,108,False
100,77,77,128,128,90,False
100,128,90,77,77,128,False
71,120,95,120,95,99,False
56,61,65,48,45,38,False
61,78,95,56,58,57,False
88,107,122,74,75,64,False
40,45,40,62,60,60,False
59,59,58,90,70,73,False
75,69,72,114,100,104,False
41,56,40,62,44,71,False
54,63,52,83,56,97,False
72,95,67,103,71,122,False
38,36,38,32,36,57,False
85,56,77,50,77,78,False
45,50,43,40,38,62,False
62,73,55,56,52,84,False
78,81,71,74,69,126,False
38,35,40,27,25,35,False
45,22,60,27,30,29,False
80,52,50,90,50,89,False
62,50,58,73,54,72,False
86,68,72,109,66,106,False
44,38,39,61,79,42,False
54,45,47,75,98,52,False
78,65,68,112,154,75,False
66,65,48,62,57,52,False
123,100,62,97,81,68,False
67,82,62,46,48,43,False
95,124,78,69,71,58,False
75,80,60,65,90,102,False
62,48,54,63,60,68,False
74,48,76,83,81,104,False
74,48,76,83,81,104,False
45,80,100,35,37,28,False
59,110,150,45,49,35,False
60,150,50,150,50,60,False
60,50,150,50,150,60,False
78,52,60,63,65,23,False
101,72,72,99,89,29,False
62,48,66,59,57,49,False
82,80,86,85,75,72,False
53,54,53,37,46,45,False
86,92,88,68,75,73,False
42,52,67,39,56,50,False
72,105,115,54,86,68,False
50,60,60,60,60,30,False
65,75,90,97,123,44,False
50,53,62,58,63,44,False
71,73,88,120,89,59,False
44,38,33,61,43,70,False
62,55,52,109,94,109,False
58,89,77,45,45,48,False
82,121,119,69,59,71,False
77,59,50,67,63,46,False
123,77,72,99,92,58,False
95,65,65,110,130,60,False
78,92,75,74,63,118,False
67,58,57,81,67,101,False
50,50,150,50,150,50,False
45,50,35,55,75,40,False
68,75,53,83,113,60,False
90,100,70,110,150,80,False
57,80,91,80,87,75,False
43,70,48,50,60,38,False
85,110,76,65,82,56,False
49,66,70,44,55,51,False
44,66,70,44,55,56,False
54,66,70,44,55,46,False
59,66,70,44,55,41,False
65,90,122,58,75,84,False
55,85,122,58,75,99,False
75,95,122,58,75,69,False
85,100,122,58,75,54,False
55,69,85,32,35,28,False
95,117,184,44,46,28,False
40,30,35,45,40,55,False
85,70,80,97,80,123,False
126,131,95,131,98,99,True
126,131,95,131,98,99,True
108,100,121,81,95,95,True
50,100,150,100,150,50,True
50,160,110,160,110,110,True
80,110,60,150,130,70,True
80,160,60,170,130,80,True
80,110,120,130,90,70,True
